country,mean_GdpBil,sd_GdpBil
Afghanistan,16.430025591181202,7.663240757285304
Albania,13.06276619189301,4.837831779734656
Algeria,148.61314075227293,33.15473545446033
Angola,28.94037396524179,15.531400838368265
Argentina,353.0717021313032,91.45520989163491
Australia,477.6393215040783,154.36011190588664
Austria,225.38878004000046,50.320095741775134
Bahrain,12.397050417999028,5.145347556342569
Bangladesh,119.95490436363062,54.34124960953339
Belgium,271.9445110913489,54.64753678130582
Benin,7.426424596958494,2.7412490367508955
Bolivia,24.074594396965868,6.991777368831747
Bosnia and Herzegovina,20.489646251044267,7.9823436812487545
Botswana,12.344929445327812,6.214212280135994
Brazil,1272.256111156059,295.7684084174156
Bulgaria,64.49530690530344,12.228318250393686
Burkina Faso,10.081991143038941,4.397518168604497
Burundi,3.166352993952684,0.42986013845190035
Cambodia,10.274757186137279,7.2604916318549275
Cameroon,27.21978807581744,5.568479149830351
Canada,864.8146265869543,237.12866440133718
Central African Republic,2.6705739451684174,0.3144020084498465
Chad,8.53209845838031,4.870064420307205
Chile,126.67176146962916,60.48901245939354
China,2955.96146279612,2054.3459739883783
Colombia,206.0678098636648,67.30854590169683
Comoros,0.5850131903011042,0.09543135478353239
"Congo, Dem. Rep.",18.30050866472564,3.824671963924053
"Congo, Rep.",10.361589295156218,1.9988684889983583
Costa Rica,23.508477684535666,9.963169611724396
Cote d'Ivoire,24.750485545749967,2.576339517730345
Croatia,53.33180859324299,10.765881828424106
Cuba,73.62380075563613,15.607233616536945
Czech Republic,175.57532903942825,30.42485847987089
Denmark,149.93232407858147,30.243156273510184
Djibouti,0.894915489292125,0.08009919698555729
Dominican Republic,30.545281896286085,14.919536284327872
Ecuador,76.03534422660901,13.76136550704281
Egypt,277.1926289323523,105.69163866629547
El Salvador,27.56632016183547,8.40997471920184
Equatorial Guinea,2.1315961597112345,2.6115808310315924
Eritrea,2.5458412705699964,0.9972573567296219
Ethiopia,31.398946352011812,11.869578044147111
Finland,123.3388552542713,31.565103230311912
France,1476.9928286572056,289.6333591330848
Gabon,14.538695386563226,3.3802528255321986
Gambia,0.8068743074748457,0.27629140131047863
Germany,2196.727544872047,344.7905494307331
